emp_no,first_name,last_name,birth_date,from_date,to_date,title
426958,Weijing,Viele,1965-01-19,1985-10-03,9999-01-01,Senior Engineer
427313,Utpal,Kemmerer,1965-01-31,1986-12-04,9999-01-01,Senior Staff
427332,Feiyu,Hemaspaandra,1965-01-20,1995-06-04,9999-01-01,Staff
427571,Torsten,Ranta,1965-01-20,1995-07-03,9999-01-01,Engineer
427659,Mariusz,Ritcey,1965-01-27,1987-03-16,1991-07-01,Engineer
427776,Jaques,Navazio,1965-01-25,1989-04-04,9999-01-01,Senior Staff
427852,Adil,Kieras,1965-01-02,1992-07-20,9999-01-01,Senior Engineer
428195,Hatsukazu,Rosca,1965-01-11,1986-10-13,1993-08-02,Staff
428219,Ghassan,Androutsos,1965-01-21,1987-12-26,9999-01-01,Staff
428235,Chenyi,Demian,1965-01-17,1988-06-29,1991-08-29,Senior Engineer
428294,Nimmagadda,Kusakari,1965-01-13,1992-09-29,1994-01-23,Engineer
429040,Bader,Detkin,1965-01-22,1993-10-24,1999-07-31,Staff
429087,Hugh,Senzako,1965-01-27,1992-10-15,9999-01-01,Technique Leader
429231,Kazuyasu,Schmiedel,1965-01-09,1985-09-07,9999-01-01,Staff
429249,Alassane,Wolniewicz,1965-01-28,1986-10-06,1993-11-09,Senior Engineer
429381,Limsoon,Roohalamini,1965-01-06,1986-11-26,9999-01-01,Staff
429703,Ung,Honglei,1965-01-06,1986-09-02,9999-01-01,Senior Staff
430558,Xiong,Roisin,1965-01-07,1988-03-01,9999-01-01,Engineer
430631,Kersti,Marsiglia,1965-01-17,1994-02-19,9999-01-01,Engineer
430891,Khalil,Gien,1965-01-06,1991-08-06,9999-01-01,Senior Engineer
430981,Amabile,Koyama,1965-01-24,1985-07-25,1993-05-14,Senior Staff
431576,Masamitsu,Back,1965-01-06,1993-04-12,9999-01-01,Senior Staff
431657,Visit,Thiran,1965-01-31,1986-11-14,9999-01-01,Engineer
431759,Alassane,Ramsay,1965-02-01,1987-11-21,1989-04-12,Engineer
432031,Adamantios,Matzat,1965-01-11,1987-03-01,9999-01-01,Senior Staff
432121,Alair,Straney,1965-01-06,1986-11-15,9999-01-01,Senior Staff
432257,Kwangjo,Hiltgen,1965-01-20,1998-12-22,9999-01-01,Engineer
432261,Arve,Bergere,1965-01-30,1987-07-28,9999-01-01,Senior Engineer
432956,Qunsheng,Birrer,1965-01-25,1986-05-13,9999-01-01,Senior Staff
433465,Wonhee,Benveniste,1965-01-12,1985-12-21,1987-03-23,Senior Staff
433640,Monique,Baer,1965-01-12,1987-12-12,1996-02-13,Senior Staff
434384,Greger,Babb,1965-01-28,1998-06-13,2002-01-18,Senior Staff
434845,Takushi,Skogmar,1965-01-11,1985-06-07,9999-01-01,Senior Staff
434936,Sahrah,Rosis,1965-01-15,1994-06-24,9999-01-01,Senior Engineer
435026,Shim,Versino,1965-01-14,1996-12-17,1997-11-20,Senior Engineer
435181,Kazuhide,Fiutem,1965-01-16,1992-05-10,9999-01-01,Staff
435226,Yinghua,Panwar,1965-01-12,1994-06-11,1996-02-26,Senior Staff
435289,Feixiong,Schurmann,1965-01-04,1987-02-15,9999-01-01,Senior Staff
435791,Hercules,Speer,1965-01-07,1994-03-07,9999-01-01,Engineer
436827,Wojceich,Limongiello,1965-01-30,1988-03-10,9999-01-01,Senior Staff
437276,Dines,DeMori,1965-01-17,1987-12-07,9999-01-01,Senior Staff
437395,Sumant,Thambidurai,1965-01-21,1994-01-02,1996-08-24,Staff
438264,Rasikan,Barreiro,1965-01-19,1991-09-27,9999-01-01,Senior Staff
439905,Kousuke,Levasseur,1965-01-03,1990-03-16,9999-01-01,Staff
440642,Snehasis,Kalsbeek,1965-01-14,1988-01-06,9999-01-01,Senior Staff
441197,Miquel,Legleitner,1965-01-18,1985-06-28,9999-01-01,Senior Staff
441651,Aimee,Billawala,1965-01-07,1989-02-20,1995-08-24,Engineer
441965,Claudi,Heijenga,1965-01-12,1988-08-30,9999-01-01,Staff
443485,Marke,Klerer,1965-01-23,1990-04-14,9999-01-01,Senior Staff
444099,Kousuke,Worfolk,1965-01-28,1988-03-22,9999-01-01,Staff
444208,Irena,Cesareni,1965-01-27,1985-10-30,9999-01-01,Senior Staff
444228,Xinglin,Busillo,1965-01-23,1998-10-08,1999-06-11,Senior Engineer
445152,Heping,Peac,1965-01-09,1985-03-20,9999-01-01,Senior Staff
445201,Randi,Alblas,1965-01-22,1992-05-02,2000-01-27,Staff
445226,Oscar,Baumann,1965-01-01,1987-01-22,9999-01-01,Engineer
445456,Apostol,Gruenwald,1965-01-12,1998-08-04,2000-03-18,Engineer
445570,Van,Nations,1965-01-25,1986-08-11,9999-01-01,Technique Leader
445723,Gaurav,Roison,1965-01-31,1991-07-12,9999-01-01,Senior Staff
445941,Masako,Dechter,1965-01-11,1985-09-25,9999-01-01,Technique Leader
446424,DAIDA,Nooteboom,1965-01-16,1985-11-24,9999-01-01,Engineer
446785,Yuping,Papastamatiou,1965-01-30,1988-08-30,1992-01-16,Engineer
446897,Takahiro,Dalton,1965-01-22,1992-09-30,9999-01-01,Technique Leader
447135,Gennady,Rouquie,1965-01-31,1989-08-24,9999-01-01,Senior Staff
447191,Dmitri,Rousseau,1965-01-17,1995-06-19,1997-05-26,Engineer
447232,Aleksander,Schaaf,1965-01-22,1995-05-26,2000-01-10,Staff
447376,Kirk,Zongker,1965-01-07,1999-12-10,9999-01-01,Staff
447613,Paris,Restivo,1965-01-15,1986-11-21,9999-01-01,Engineer
447877,Make,Heuser,1965-01-13,1988-07-02,9999-01-01,Engineer
447982,Shiv,Baezner,1965-01-25,1990-12-17,9999-01-01,Engineer
448994,Haldun,Syang,1965-01-12,1997-02-11,9999-01-01,Staff
449815,Fumitaka,Quittner,1965-01-27,1988-04-20,9999-01-01,Staff
449984,Hinrich,Perin,1965-02-01,1985-11-20,9999-01-01,Engineer
450255,Udo,Waymire,1965-01-31,1986-06-14,9999-01-01,Technique Leader
450309,Gill,Orlowska,1965-01-08,1986-12-25,9999-01-01,Technique Leader
450817,DAIDA,Frolund,1965-01-10,1987-07-17,9999-01-01,Engineer
450934,Chanjung,Raoux,1965-01-23,1992-05-25,9999-01-01,Engineer
451253,Jaihie,Ozeri,1965-01-15,1991-06-21,9999-01-01,Staff
451272,Jacopo,Krohm,1965-01-02,1991-04-24,9999-01-01,Engineer
451275,Bedrich,Isard,1965-01-25,1986-06-07,9999-01-01,Senior Staff
452137,Subir,Miake,1965-01-15,1993-07-11,1999-01-09,Engineer
452196,Bartek,Snyers,1965-01-17,1987-01-14,2001-05-02,Senior Staff
452365,Fei,Gadepally,1965-01-05,1988-11-13,9999-01-01,Engineer
452956,Gou,Thombley,1965-01-17,1990-11-07,9999-01-01,Senior Engineer
453723,Arne,Kohling,1965-01-15,1985-12-13,9999-01-01,Senior Engineer
454791,Xiaoqiu,Pietracaprina,1965-01-22,1994-07-09,9999-01-01,Senior Engineer
454994,Mohan,Picht,1965-01-01,1991-02-24,9999-01-01,Engineer
455243,Khoa,Bahk,1965-01-13,1991-06-10,1998-02-07,Senior Engineer
455415,Weiye,Krohm,1965-01-10,1990-10-29,2000-02-10,Senior Staff
455726,Qiwen,Kriebel,1965-01-08,1987-12-13,9999-01-01,Senior Staff
456767,Tetsurou,Schreiter,1965-01-24,1987-07-17,9999-01-01,Staff
456824,Aloke,Neiman,1965-01-13,1985-07-10,1996-07-23,Technique Leader
457070,Gay,Plavsic,1965-01-25,1987-08-06,9999-01-01,Senior Staff
457411,Xudong,Peck,1965-01-13,1988-04-18,9999-01-01,Senior Engineer
457489,Berna,Ranst,1965-01-24,1985-05-14,9999-01-01,Engineer
457653,Yakichi,Naumovich,1965-01-21,1988-06-12,1988-07-03,Technique Leader
457776,Florian,Siepmann,1965-01-15,1987-12-21,9999-01-01,Senior Engineer
457832,Jackson,Zielinski,1965-02-01,1997-09-12,9999-01-01,Senior Engineer
458134,Thanasis,Standera,1965-01-11,1985-03-20,9999-01-01,Senior Staff
458383,Mabhin,Foote,1965-01-06,1999-04-23,9999-01-01,Engineer
458726,Shahaf,Kitai,1965-01-13,1986-12-26,9999-01-01,Senior Staff
458790,Ramya,Azadmanesh,1965-01-17,1988-11-19,9999-01-01,Engineer
458919,Kaijung,Papadias,1965-01-12,1999-05-01,2001-04-12,Engineer
459172,Val,Rissanen,1965-01-19,1993-11-20,9999-01-01,Assistant Engineer
459685,Hirochika,Goldhammer,1965-02-01,1998-03-12,9999-01-01,Engineer
460920,Remzi,Mitzlaff,1965-01-22,1986-04-06,9999-01-01,Senior Staff
461563,Sreenivas,Versino,1965-01-29,1985-08-24,1988-12-25,Senior Staff
462493,Paloma,Gerlach,1965-01-12,1988-07-26,9999-01-01,Engineer
463212,Ramya,Rossi,1965-01-09,2001-09-02,9999-01-01,Senior Engineer
463472,Jaber,Sethi,1965-01-11,1995-06-06,2000-06-11,Technique Leader
463495,Alenka,Barriga,1965-01-28,1988-05-06,9999-01-01,Senior Staff
464303,Abdelghani,Nyrup,1965-01-22,1986-08-02,9999-01-01,Senior Staff
465062,Stafford,Gist,1965-01-29,1988-05-07,9999-01-01,Senior Engineer
465076,Tokuyasu,Ghelli,1965-01-19,1985-05-05,9999-01-01,Engineer
465409,Shahid,Varman,1965-01-30,1985-08-27,9999-01-01,Staff
465711,Lakshmi,Frijda,1965-01-06,1990-04-21,9999-01-01,Engineer
465874,Herb,Picht,1965-01-12,1985-05-31,9999-01-01,Assistant Engineer
466509,Bezalel,Verhoeff,1965-01-26,1988-03-22,9999-01-01,Engineer
466603,Yechezkel,Nourani,1965-01-23,1991-08-01,9999-01-01,Staff
466745,Boalin,Birsak,1965-01-26,1995-10-16,9999-01-01,Senior Staff
466911,Stepehn,Markovitch,1965-01-11,1991-08-13,1995-08-07,Staff
467176,Przemyslawa,Borovoy,1965-01-05,1993-06-18,9999-01-01,Senior Staff
467441,Margareta,Bondorf,1965-01-13,1988-11-07,9999-01-01,Senior Engineer
468763,Sachin,Zlotek,1965-01-12,1985-03-11,1990-08-09,Senior Engineer
469399,Hongzhu,Ruemmler,1965-01-25,2000-06-06,9999-01-01,Engineer
469527,Halsur,Ibel,1965-01-24,1998-03-05,9999-01-01,Staff
469529,Neven,Rikino,1965-01-07,1988-10-21,9999-01-01,Engineer
469805,Chaosheng,Shobatake,1965-01-21,1991-07-03,2001-09-15,Senior Staff
469867,Hein,Jonsson,1965-01-23,1985-02-12,9999-01-01,Senior Staff
470456,Reuven,Oehlmann,1965-01-13,1986-03-29,9999-01-01,Senior Staff
470472,Zhiguo,Staudhammer,1965-02-01,1985-12-03,9999-01-01,Engineer
471552,Basem,Lortz,1965-01-22,1997-10-25,9999-01-01,Staff
472790,Zhenbing,Ibel,1965-01-23,1985-10-29,9999-01-01,Senior Engineer
472950,Weidon,Fordan,1965-01-29,1986-03-27,9999-01-01,Senior Engineer
473824,Shin,Puoti,1965-01-22,1996-12-20,1999-05-09,Staff
474257,Sungwon,Kornyak,1965-01-24,1991-04-04,1994-10-23,Staff
474372,Monique,Cyre,1965-01-13,1986-02-13,1994-10-11,Staff
474763,Mayuko,Clouatre,1965-01-07,1997-09-04,9999-01-01,Engineer
474796,Zongyan,Shackel,1965-01-10,1986-11-09,1987-08-17,Technique Leader
474918,Rasikan,Khalil,1965-01-15,1985-02-10,1985-03-11,Engineer
475087,Genevieve,Snedden,1965-01-31,1988-10-21,9999-01-01,Senior Engineer
475258,Fumiyo,Feinberg,1965-01-10,1987-11-22,2000-02-12,Staff
475538,Christophe,Leaver,1965-01-15,1998-10-31,9999-01-01,Staff
475938,Shigeaki,Lanteri,1965-01-14,1989-02-17,9999-01-01,Senior Engineer
475965,Rimon,Pietracaprina,1965-01-02,1985-07-10,9999-01-01,Senior Engineer
476361,Doohun,Preusig,1965-01-09,1985-04-13,1993-04-28,Technique Leader
476488,Yuping,Kuhnemann,1965-01-30,1986-12-13,1994-07-07,Technique Leader
479407,Randi,Tomescu,1965-01-18,1986-11-25,9999-01-01,Senior Engineer
481148,Gina,Decaestecker,1965-01-18,1986-06-20,1989-05-25,Engineer
481467,Margareta,Polajnar,1965-01-03,1989-02-24,1996-07-01,Staff
481764,Teiji,Marrakchi,1965-01-27,1986-08-26,9999-01-01,Senior Engineer
481807,Taegyun,Vieri,1965-01-23,1988-06-17,1989-03-03,Senior Engineer
482755,Jouni,Conia,1965-01-03,1994-10-31,9999-01-01,Senior Staff
482885,Shaunak,Brizzi,1965-01-29,1988-09-02,9999-01-01,Assistant Engineer
482905,Aral,Hebden,1965-01-16,1991-09-10,9999-01-01,Senior Staff
483213,Phillip,Munch,1965-01-16,1991-09-02,1998-04-01,Technique Leader
483675,Hausi,Kamber,1965-01-22,1988-02-16,9999-01-01,Senior Engineer
483825,Marek,Mitchem,1965-01-22,1992-11-20,9999-01-01,Senior Engineer
483838,Sham,Kavanagh,1965-01-03,1997-12-18,9999-01-01,Assistant Engineer
484126,Manton,Lueh,1965-01-05,1989-04-07,9999-01-01,Senior Staff
484142,Perry,Cooman,1965-01-05,1987-04-23,9999-01-01,Senior Staff
485489,Keiichiro,Armand,1965-01-01,1986-12-14,9999-01-01,Assistant Engineer
485577,Rafael,Menhoudj,1965-01-30,1997-04-27,9999-01-01,Senior Engineer
485579,Munehiro,Iwayama,1965-01-18,1986-12-16,9999-01-01,Senior Engineer
486918,Yagil,Remmers,1965-01-18,1994-11-01,9999-01-01,Senior Staff
486958,Tonny,Kropf,1965-01-06,1986-07-30,9999-01-01,Senior Engineer
487008,Zhigen,Raney,1965-01-22,1993-05-26,9999-01-01,Senior Staff
487505,Uno,Jayawardene,1965-01-20,1987-11-02,9999-01-01,Staff
487988,Ekawit,Schaft,1965-01-05,1990-05-20,9999-01-01,Senior Staff
488115,Leah,Luke,1965-01-29,1995-08-23,1995-09-27,Assistant Engineer
488142,Denis,Narlikar,1965-01-05,1991-07-01,9999-01-01,Senior Staff
488414,Changho,Gaughan,1965-01-10,1987-06-21,1991-07-13,Engineer
488482,Kensyu,Tsunoo,1965-01-30,1999-12-05,9999-01-01,Engineer
488632,Irena,Baalen,1965-01-20,1999-11-22,2001-02-10,Staff
488788,Wuxu,Garigliano,1965-01-12,1990-09-21,9999-01-01,Staff
488984,Kendra,Junet,1965-01-18,1986-02-28,1992-11-12,Staff
489755,Matk,Chorvat,1965-01-14,1994-12-30,1999-12-04,Senior Staff
489756,Kersti,Miculan,1965-01-01,1992-06-09,9999-01-01,Staff
490557,Luise,Vigier,1965-01-27,1994-07-01,9999-01-01,Engineer
490568,Zita,Reistad,1965-01-01,1998-07-23,9999-01-01,Senior Engineer
491478,Gill,Varman,1965-01-16,1988-06-18,9999-01-01,Senior Staff
491596,Charmane,Pargas,1965-01-21,1988-07-29,1992-08-03,Senior Engineer
491632,Gadiel,Perly,1965-01-01,1986-10-20,9999-01-01,Senior Staff
492639,Sanjoy,Porenta,1965-01-30,1997-07-10,9999-01-01,Engineer
492677,Goetz,McAffer,1965-01-26,1988-02-05,9999-01-01,Engineer
493031,Hironoby,Jakobus,1965-01-23,1991-07-30,9999-01-01,Senior Staff
493278,Shaleah,Pileggi,1965-01-28,1999-02-10,1999-10-30,Engineer
493744,Leni,Kropatsch,1965-01-14,1997-07-17,9999-01-01,Senior Engineer
495969,Geoffrey,Panienski,1965-01-01,1988-11-28,1998-06-07,Engineer
496100,Pranjal,Reinhard,1965-01-07,1995-05-08,9999-01-01,Staff
496970,Giordano,Maquelin,1965-01-03,1999-12-31,9999-01-01,Senior Engineer
497660,Gritta,Petereit,1965-01-02,1985-04-06,1994-09-05,Senior Engineer
498456,Geraldo,Gerteisen,1965-01-17,1987-06-05,9999-01-01,Senior Staff
498635,Florian,Pezzoli,1965-01-09,1988-07-22,9999-01-01,Staff
498955,Nechama,Kandlur,1965-01-13,1995-01-16,9999-01-01,Senior Engineer
499260,Danae,Honglei,1965-01-11,1998-09-14,9999-01-01,Engineer
499495,Baoqiu,Kakkar,1965-01-14,1999-08-30,9999-01-01,Engineer
